"Ranking","Movie_id"
"1","tt0111161"
"2","tt0068646"
"3","tt0071562"
"4","tt0468569"
"5","tt0050083"
"6","tt0108052"
"7","tt0167260"
"8","tt0110912"
"9","tt0060196"
"10","tt0120737"
"11","tt0137523"
"12","tt0109830"
"13","tt1375666"
"14","tt0167261"
"15","tt0080684"
"16","tt0133093"
"17","tt0099685"
"18","tt0073486"
"19","tt0047478"
"20","tt0114369"
"21","tt0118799"
"22","tt0317248"
"23","tt0102926"
"24","tt0038650"
"25","tt0076759"
"26","tt0120815"
"27","tt0245429"
"28","tt0120689"
"29","tt0816692"
"30","tt6751668"
"31","tt0110413"
"32","tt0114814"
"33","tt0056058"
"34","tt0110357"
"35","tt0253474"
"36","tt0088763"
"37","tt0103064"
"38","tt0120586"
"39","tt0027977"
"40","tt0054215"
"41","tt0172495"
"42","tt0021749"
"43","tt0407887"
"44","tt1675434"
"45","tt2582802"
"46","tt0482571"
"47","tt0095327"
"48","tt0064116"
"49","tt0034583"
"50","tt0095765"
"51","tt8503618"
"52","tt0047396"
"53","tt0078748"
"54","tt0078788"
"55","tt0209144"
"56","tt0032553"
"57","tt0082971"
"58","tt1853728"
"59","tt0405094"
"60","tt7286456"
"61","tt0050825"
"62","tt0910970"
"63","tt0081505"
"64","tt4154756"
"65","tt0043014"
"66","tt0051201"
"67","tt0364569"
"68","tt0119698"
"69","tt4633694"
"70","tt0057012"
"71","tt1345836"
"72","tt0087843"
"73","tt0090605"
"74","tt5311514"
"75","tt2380307"
"76","tt4154796"
"77","tt0169547"
"78","tt0112573"
"79","tt0082096"
"80","tt1187043"
"81","tt0114709"
"82","tt8267604"
"83","tt0057565"
"84","tt0086879"
"85","tt0361748"
"86","tt0086190"
"87","tt0986264"
"88","tt0119217"
"89","tt0105236"
"90","tt0062622"
"91","tt0180093"
"92","tt0052357"
"93","tt0022100"
"94","tt2106476"
"95","tt0338013"
"96","tt0033467"
"97","tt5074352"
"98","tt0093058"
"99","tt0040522"
"100","tt0045152"
"101","tt0012349"
"102","tt8579674"
"103","tt0053125"
"104","tt0066921"
"105","tt0208092"
"106","tt0086250"
"107","tt0044741"
"108","tt0075314"
"109","tt0091251"
"110","tt0435761"
"111","tt0056172"
"112","tt0211915"
"113","tt0070735"
"114","tt1832382"
"115","tt0017136"
"116","tt1255953"
"117","tt0059578"
"118","tt0053604"
"119","tt0036775"
"120","tt0056592"
"121","tt1049413"
"122","tt0097576"
"123","tt0113277"
"124","tt0119488"
"125","tt0095016"
"126","tt0071853"
"127","tt6966692"
"128","tt0055630"
"129","tt0042876"
"130","tt0372784"
"131","tt0363163"
"132","tt0118849"
"133","tt0105695"
"134","tt0053291"
"135","tt0089881"
"136","tt0347149"
"137","tt0042192"
"138","tt0268978"
"139","tt0112641"
"140","tt0057115"
"141","tt0993846"
"142","tt0457430"
"143","tt1305806"
"144","tt0120735"
"145","tt0469494"
"146","tt0096283"
"147","tt0081398"
"148","tt0055031"
"149","tt0040897"
"150","tt0046912"
"151","tt5027774"
"152","tt1130884"
"153","tt0015864"
"154","tt0071315"
"155","tt0476735"
"156","tt0477348"
"157","tt0434409"
"158","tt0050976"
"159","tt2096673"
"160","tt0080678"
"161","tt1291584"
"162","tt0084787"
"163","tt0066763"
"164","tt0167404"
"165","tt0117951"
"166","tt0107290"
"167","tt0120382"
"168","tt0031381"
"169","tt2948372"
"170","tt0266543"
"171","tt4729430"
"172","tt0050986"
"173","tt0079944"
"174","tt0083658"
"175","tt0266697"
"176","tt0353969"
"177","tt0050212"
"178","tt0116282"
"179","tt3170832"
"180","tt0041959"
"181","tt1205489"
"182","tt0047296"
"183","tt3011894"
"184","tt0046438"
"185","tt0077416"
"186","tt0077711"
"187","tt0107207"
"188","tt0978762"
"189","tt2267998"
"190","tt2278388"
"191","tt0112471"
"192","tt2119532"
"193","tt0264464"
"194","tt8108198"
"195","tt0060827"
"196","tt1392214"
"197","tt0118715"
"198","tt0015324"
"199","tt0035446"
"200","tt0017925"
"201","tt0892769"
"202","tt0116231"
"203","tt1950186"
"204","tt2024544"
"205","tt0072684"
"206","tt0031679"
"207","tt1392190"
"208","tt0097223"
"209","tt0405159"
"210","tt0074958"
"211","tt0097165"
"212","tt0092005"
"213","tt0052618"
"214","tt0061512"
"215","tt1201607"
"216","tt1028532"
"217","tt0091763"
"218","tt3315342"
"219","tt0758758"
"220","tt4016934"
"221","tt1979320"
"222","tt0046268"
"223","tt0079470"
"224","tt0053198"
"225","tt1895587"
"226","tt0019254"
"227","tt0395169"
"228","tt0113247"
"229","tt0060107"
"230","tt0245712"
"231","tt6148156"
"232","tt0075148"
"233","tt1954470"
"234","tt0198781"
"235","tt0087544"
"236","tt0032976"
"237","tt0048021"
"238","tt0405508"
"239","tt0381681"
"240","tt0118694"
"241","tt0087884"
"242","tt8613070"
"243","tt0025316"
"244","tt4857264"
"245","tt1454029"
"246","tt4430212"
"247","tt0058946"
"248","tt0093779"
"249","tt2991224"
"250","tt2758880"
